sample	value
1937	0.09031
1938	0.07461
1939	0.0766
1940	0.02561
1941	0.06573
1942	0.1022
1943	0.09589
1944	0.1065
1945	0.1189
1946	0.0889
1947	0.0598
1948	0.02589
1949	0.0995
1950	0.1079
1951	0.08239
1952	0.01681
1953	0.05351
1954	0.1478
1955	0.06019
1956	0.05122
1957	0.02593
1958	0.03975
1959	0.02448
1960	0.1404
1961	0.03164
1962	0.04907
1963	0.09222
1964	0.02809
1965	0.08881
1966	0.06218
1967	0.1085
1968	0.0334
1969	0.03333
1970	0.04882
1971	0.0333
1972	0.1034
1973	0.06064
1974	0.02899
1975	0.04879
1976	0.0663
1977	0.07675
1978	0.00867
1979	0.1002
1980	0.04817
1981	0.05509
1982	0.03941
1983	0.07762
1984	0.01135
1985	0.08106
1986	0.05611
1987	0.09362
1988	0.09365
1989	0.05697
1990	0.04728
1991	0.03444
1992	0.02271
1993	0.1175
1994	0.08683
1995	0.05432
1996	0.06428
1997	-0.02015
1998	0.1226
1999	0.0142
2000	0.09279
2001	0.07468
2002	0.1072
2003	0.1344
2004	0.1275
2005	0.1114
2006	0.06162
2007	0.06235
2008	0.09534
2009	0.08989
2010	0.03802
2011	0.06451
2012	0.0406
2013	0.0945
2014	-0.01556
2015	0.08395
2016	0.04931
2017	0.06939
2018	-0.001311
2019	0.09581
2020	0.06774
2021	0.02064
2022	0.06901
2023	0.06091
2024	0.05765
2025	0.03511
2026	0.07433
2027	0.04703
2028	0.1138
2029	0.06746
2030	0.06263
2031	0.04432
2032	0.08023
2033	0.03456
2034	0.07614
2035	0.04695
2036	-0.008981
2037	0.07524
2038	0.09041
2039	0.0535
2040	0.1065
2041	0.1134
2042	0.09264
2043	0.1419
2044	0.07498
2045	0.1074
2046	0.07057
2047	0.05366
2048	0.09928
2049	0.0685
2050	0.08389
2051	0.1136
2052	0.06756
2053	0.09594
2054	0.1103
2055	0.02052
2056	0.1106
2057	0.04118
2058	-0.01149
2059	0.06232
2060	0.02096
2061	0.1102
2062	0.09416
2063	0.1354
2064	0.07234
2065	0.04038
2066	0.1244
2067	-0.02471
2068	0.04357
2069	0.05515
2070	0.07386
2071	0.06984
2072	0.1233
2073	0.0764
2074	0.03542
2075	0.04597
2076	0.1472
2077	0.1245
2078	0.08787
2079	0.08003
2080	0.06852
2081	0.1197
2082	0.05259
2083	0.09565
2084	0.0479
2085	0.09112
2086	0.08714
2087	0.1066
2088	0.04175
2089	0.1081
2090	0.092
2091	0.0814
2092	0.06989
2093	0.06505
2094	0.0806
2095	0.03064
2096	0.07549
2097	0.02283
2098	0.06137
2099	0.009392
2100	0.1079
2101	0.04964
2102	-0.005547
2103	0.01392
2104	0.09609
2105	0.07191
2106	0.05597
2107	0.09909
2108	0.08142
2109	0.08831
2110	0.06687
2111	0.07598
2112	0.07689
2113	0.05362
2114	0.07095
2115	0.004647
2116	0.05458
2117	0.103
2118	0.09304
2119	0.06559
2120	0.02776
2121	0.06524
2122	0.06941
2123	0.129
2124	0.1072
2125	0.008194
2126	0.09289
2127	0.09361
2128	0.1266
2129	0.04259
2130	0.0523
2131	0.1112
2132	0.05333
2133	0.0806
2134	0.1077
2135	0.1371
2136	0.04938
2137	0.1567
2138	0.1344
2139	0.07347
2140	0.02642
2141	0.09976
2142	0.1153
2143	0.07589
2144	0.0349
2145	0.1036
2146	0.05777
2147	0.06453
2148	0.05566
2149	0.06627
2150	0.1536
2151	0.1161
2152	0.05841
2153	0.095
2154	0.03354
2155	0.1336
2156	0.04647
2157	0.1451
2158	0.00832
2159	0.0236
2160	0.07129
2161	0.06392
2162	0.02378
2163	0.04635
2164	0.1292
2165	0.1917
2166	0.1428
2167	0.06624
2168	0.0721
2169	0.08384
2170	0.122
2171	0.04697
2172	9.209E-4
2173	0.08815
2174	0.06619
2175	0.08036
2176	0.1049
2177	0.0142
2178	0.1243
2179	0.1228
2180	0.06462
2181	0.07528
2182	0.1321
2183	0.04044
2184	0.07978
2185	0.05784
2186	0.05874
2187	0.02478
2188	0.05055
2189	-0.01653
2190	0.0615
2191	0.01839
2192	0.05355
2193	0.06133
2194	0.086
2195	0.1033
2196	0.08907
2197	0.09223
2198	0.0629
2199	0.003091
2200	0.03075
2201	0.06719
2202	0.05091
2203	0.04814
2204	0.03592
2205	0.1122
2206	0.02863
2207	0.04137
2208	0.08546
2209	0.06964
2210	0.0964
2211	0.07266
2212	0.001599
2213	0.06857
2214	0.02691
2215	0.1476
2216	0.08679
2217	0.06561
2218	0.08929
2219	0.01495
2220	0.06576
2221	0.07229
2222	0.05154
2223	0.1042
2224	0.06002
2225	0.05614
2226	0.008264
2227	0.07392
2228	0.07029
2229	0.09406
2230	0.01649
2231	0.09218
2232	0.06186
2233	0.1287
2234	0.07305
2235	0.07069
2236	0.08474
2237	0.03409
2238	0.009301
2239	0.1156
2240	0.1126
2241	0.1589
2242	0.1382
2243	0.07636
2244	0.05895
2245	0.1053
2246	0.006235
2247	0.1139
2248	0.03476
2249	0.09758
2250	0.03973
2251	0.06767
2252	0.07716
2253	0.05707
2254	0.02117
2255	0.02175
2256	0.1033
2257	0.1225
2258	0.07771
2259	0.01184
2260	0.03584
2261	0.04788
2262	0.01166
2263	0.06955
2264	0.06224
2265	0.02564
2266	0.05325
2267	0.06483
2268	0.05276
2269	0.06596
2270	0.02598
2271	0.06367
2272	0.0875
2273	0.05482
2274	0.03889
2275	-0.0134
2276	0.1445
2277	0.1185
2278	0.02304
2279	0.1063
2280	0.1795
2281	0.04038
2282	0.05969
2283	0.0701
2284	2.663E-4
2285	0.09554
2286	4.561E-4
2287	0.07442
2288	0.1449
2289	0.01857
2290	0.06735
2291	0.07325
2292	0.04116
2293	0.0671
2294	0.07337
2295	0.05929
2296	0.1125
2297	0.06889
2298	0.05754
2299	0.03077
2300	0.08283
2301	0.03699
2302	0.01191
2303	0.06379
2304	0.02102
2305	0.11
2306	0.08742
2307	0.06938
2308	0.104
2309	0.06909
2310	0.08023
2311	0.07076
2312	0.02458
2313	0.08063
2314	0.1123
2315	0.0739
2316	0.08034
2317	0.1165
2318	0.03246
2319	0.1297
2320	0.05468
2321	0.05414
2322	0.09968
2323	0.1597
2324	0.1021
2325	0.08247
2326	0.065
2327	0.03128
2328	0.07494
2329	0.03229
2330	0.06332
2331	0.08077
2332	0.06877
2333	0.08285
2334	0.1163
2335	0.1182
2336	0.08049
2337	0.07846
2338	0.01773
2339	0.03425
2340	0.04315
2341	-6.44E-4
2342	0.04387
2343	0.06967
2344	0.1065
2345	0.02555
2346	0.08206
2347	0.08282
2348	0.0642
2349	0.07868
2350	0.09143
2351	0.07134
2352	0.09044
2353	0.01228
2354	0.05186
2355	0.0798
2356	0.04317
2357	0.1002
2358	0.04744
2359	0.01307
2360	0.04329
2361	0.0576
2362	0.1021
2363	0.09609
2364	0.08694
2365	0.1221
2366	0.09288
2367	0.04851
2368	0.07455
2369	0.04859
2370	0.1442
2371	0.08785
2372	0.05945
2373	0.05247
2374	0.1044
2375	0.07126
2376	0.06461
2377	0.139
2378	0.146
2379	0.03237
2380	0.09235
2381	0.05717
2382	0.08773
2383	0.03519
2384	0.05025
2385	0.004924
2386	0.06896
2387	0.02673
2388	0.05214
2389	0.09329
2390	0.1226
2391	0.1076
2392	0.0501
2393	0.09081
2394	0.0452
2395	0.08373
2396	0.07526
2397	0.1537
2398	0.06078
2399	0.1408
2400	0.05326
2401	0.03481
2402	0.124
2403	0.1026
2404	0.06115
2405	0.1087
2406	0.09919
2407	0.09777
2408	0.02877
2409	0.03265
2410	0.05904
2411	0.08465
2412	0.09718
2413	0.05515
2414	0.1068
2415	0.009058
2416	0.07345
2417	0.0685
2418	0.08215
2419	0.05484
2420	0.02789
2421	0.004089
2422	0.0141
2423	0.09459
2424	0.08142
2425	0.08898
2426	0.1671
2427	0.1283
2428	-0.01566
2429	0.05844
2430	0.03486
2431	0.01652
2432	0.04787
2433	0.03806
2434	0.08559
2435	0.1092
2436	0.04179
2437	-0.005488
2438	0.08886
2439	0.1054
2440	0.1125
2441	0.08258
2442	0.05746
2443	0.08551
2444	0.09861
2445	0.1087
2446	0.08197
2447	0.0577
2448	0.04796
2449	0.1537
2450	0.07389
2451	0.1013
2452	0.08258
2453	0.04851
2454	0.1127
2455	0.001201
2456	0.03682
2457	0.005964
2458	0.1427
2459	0.07209
2460	0.08195
2461	0.05281
2462	0.05919
2463	0.08199
2464	0.05216
2465	0.1085
2466	0.09596
2467	0.09728
2468	0.07944
2469	0.1181
2470	0.05349
2471	0.0613
2472	0.07474
2473	0.08079
2474	0.104
2475	0.03229
2476	0.1354
2477	0.07257
2478	0.07657
2479	0.0686
2480	0.06066
2481	0.0522
2482	0.07767
2483	0.04933
2484	0.1161
2485	0.1204
2486	0.03626
2487	0.05863
2488	0.09406
2489	0.1313
2490	0.03226
2491	0.07808
2492	0.03232
2493	0.04037
2494	0.07075
2495	0.08318
2496	0.08599
2497	0.04628
2498	0.00213
2499	0.05332
2500	0.05399
2501	0.06883
2502	0.0901
2503	0.112
2504	0.1018
2505	0.05964
2506	0.129
2507	0.09116
2508	0.05825
2509	0.08838
2510	0.1036
2511	0.09225
2512	0.09274
2513	0.1296
2514	0.07557
2515	0.0727
2516	0.09756
2517	0.0751
2518	0.07822
2519	0.04943
2520	0.07673
2521	0.1098
2522	0.04277
2523	0.138
2524	0.1142
2525	0.07746
2526	0.04989
2527	0.1135
2528	0.0741
2529	0.02817
2530	0.004587
2531	0.1275
2532	0.0759
2533	0.08753
2534	0.02172
2535	0.07176
2536	0.08005
2537	0.02009
2538	0.118
2539	0.01038
2540	0.0821
2541	0.07127
2542	0.07131
2543	0.08957
2544	0.1323
2545	0.1777
2546	0.1703
2547	0.02838
2548	0.06425
2549	0.05462
2550	0.02931
2551	0.0655
2552	0.02749
