ICO;FIRMA75;DAT_OD;POC_MESICU;AKTIVACELK;KP;VLASTNIJM;CIZIZDROJE;KZ;TZPZ;V;TZPVVAS;OHANIM;PROVHOSPV;NU;HOSPVZUO;
"I» firmy";"N·zev firmy";"ZaË·tek obdobÌ";"PoËet mÏsÌc˘ ˙ËetnÌ z·vÏrky";"Aktiva celkem - tis. KË";"Kr·tkodobÈ pohled·vky - tis. KË";"VlastnÌ kapit·l - tis. KË";"CizÌ zdroje - tis. KË";"Kr·tkodobÈ z·vazky - tis. KË";"Trûby za prodej zboûÌ - tis. KË";"V˝kony - tis. KË";"Trûby za prodej vlastnÌch v˝robk˘ a sluûeb - tis. KË";"Odpisy dlouhodobÈho nehmotnÈho a hmotnÈho majetku - tis. KË";"ProvoznÌ v˝sledek hospoda¯enÌ - tis. KË";"N·kladovÈ ˙roky - tis. KË";"V˝sledek hospoda¯enÌ za ˙ËetnÌ obdobÌ (+/-) - tis. KË";
"46506357";"Agro ChoceÚ, a.s.";20140101;"9";172592;66287;56103;116021;46614;180060;14544;13160;1128;9005;1761;6178;
"46506357";"Agro ChoceÚ, a.s.";20130101;"12";149362;44295;49926;98672;36767;185408;23503;22196;1160;6066;2961;2620;
"46506357";"Agro ChoceÚ, a.s.";20120101;"12";129416;49404;52921;75769;24364;145744;25457;24676;2657;4048;2718;2552;
"46506357";"Agro ChoceÚ, a.s.";20110101;"12";131931;39369;50370;80845;32198;121489;26129;25190;2749;4317;2830;1126;
"46506357";"Agro ChoceÚ, a.s.";20100101;"12";143980;48415;50495;92908;44958;91688;23203;22413;2705;3396;2248;1042;
"46506357";"Agro ChoceÚ, a.s.";20090101;"12";130645;44815;50454;79558;31849;113461;22984;22446;2501;4552;2912;1050;
"46506357";"Agro ChoceÚ, a.s.";20080101;"12";121409;36537;49488;71677;20977;112019;24987;23644;2239;4471;2371;1122;
"48292486";"Agro RubÌn, a.s.";20130101;"12";91181;16221;76575;14606;6313;151;63795;66610;5631;3628;298;3847;
"48292486";"Agro RubÌn, a.s.";20120101;"12";91826;15301;74033;17793;13335;;64236;63998;5494;4079;148;3744;
"48292486";"Agro RubÌn, a.s.";20110101;"12";84011;17010;70654;13357;7813;;57740;60237;5024;160;167;864;
"48292486";"Agro RubÌn, a.s.";20100101;"12";84714;16374;69829;14885;9362;;61612;58526;5544;-2829;200;-2262;
"48292486";"Agro RubÌn, a.s.";20090101;"12";87555;16641;72131;15320;9557;;58038;57935;6125;-4794;253;-1953;
"48292486";"Agro RubÌn, a.s.";20080101;"12";97660;21785;74443;23009;12035;485;78329;73542;6469;1313;346;927;
"45350531";"AgroËas, s.r.o.";20120101;"12";218928;17505;50200;166675;76856;;87170;80767;13896;-9285;2194;-9114;
"45350531";"AgroËas, s.r.o.";20120101;"3";198377;24116;;;;;13589;19793;3829;-1538;412;-1951;
"45350531";"AgroËas, s.r.o.";20110101;"12";182977;10090;64219;116734;36147;;97044;86539;15801;3144;2354;118;
"45350531";"AgroËas, s.r.o.";20100101;"12";170363;12589;64101;105841;19359;244;84652;84491;16444;-146;3007;6260;
"45350531";"AgroËas, s.r.o.";20090101;"12";191622;17053;57840;132293;6317;1755;93752;98197;12847;3648;557;3605;
"45350531";"AgroËas, s.r.o.";20080101;"12";177827;17046;53913;122678;45247;5825;99612;93486;9827;4694;874;3071;
"29094194";"Ajsav, s.r.o.";20130101;"12";2442;2427;294;2148;2668;;44921;44921;;71;;58;
"29094194";"Ajsav, s.r.o.";20120101;"12";2195;1870;236;1959;1959;;31025;31025;;44;;36;
"28803868";"Akeron, s.r.o.";20130101;"12";286;;191;94;;;1024;;;-51;;-53;
"28803868";"Akeron, s.r.o.";20120101;"12";349;31;244;103;103;;1070;1070;;-10;;-12;
"28803868";"Akeron, s.r.o.";20110101;"12";344;;256;88;88;;722;722;;80;;63;
"28803868";"Akeron, s.r.o.";20100924;"4";200;;193;7;7;;;;;-7;;-7;
"46343555";"AL plast, s.r.o.";20130101;"12";7589;2552;-4062;11615;5954;;25072;25216;1;293;262;38;
"46343555";"AL plast, s.r.o.";20120101;"12";8692;3373;-4099;12661;6449;;41952;41454;1197;-3579;242;-4890;
"46343555";"AL plast, s.r.o.";20110101;"12";13298;7206;791;12485;6848;;48188;49798;9;1133;161;17;
"46343555";"AL plast, s.r.o.";20100101;"12";12999;5650;773;12157;9741;;50369;48317;956;1145;42;221;
"46343555";"AL plast, s.r.o.";20090101;"12";8177;3239;552;7328;6128;;45565;45362;949;544;26;-461;
"46343555";"AL plast, s.r.o.";20080101;"12";11575;5809;1013;10526;9546;;68443;69820;1399;1211;50;199;
"46964321";"Alba - Metal, s.r.o.";20110101;"12";101923;33815;29892;71538;17685;5482;108272;107253;3736;4734;1149;2279;
