"year";"ICO";"AKTIVACELK";"ebit";"ebitda";"financial.expanses";"sales"
2008;26047900;60744;3351.06;7383.06;22;19920
2008;25917536;34460;36.06;1025.06;25;18064
2008;26741334;21113;5508.28079199781;5891.28079199781;362.220791997805;36633
2008;61974170;9197;-489;148;57;10531
2008;27742164;6151;2284.03937953878;2460.03937953878;143.929379538777;18442
2009;61776343;16352;819;1679;35;7995
2009;45348821;19287;-2243;343;84;18155
2009;26218275;2567;382;462;70;5418
2009;26091607;15672;1703;2906;43;7534
2009;47455179;17067;1596.62364791594;1941.62364791594;119.023647915935;28698
2009;18251412;336216;86234.6;95667.6;3557;766850
2009;49681311;1714853;34052.2;153224.2;18401;1525418
2009;27478351;2589;122.2;122.2;3;5727
2009;25578367;16371;298.6;529.6;117;38308
2009;25026496;22334;2214.6;2340.6;177;23006
2009;26906724;117719;16235;24982;499;507158
2009;25560174;61313;1892.6;3452.6;1499;159059
2009;28006062;1063;-277;-194;61;6092
2009;26308011;2047;565.425190299565;610.425190299565;37.4251902995649;1885
2009;12151271;134301;44415;51286;107;417478
2009;25936883;4641;112.921802032304;309.921802032304;210.921802032304;1318
2009;27961559;1628;63.2250261077523;63.2250261077523;57.6250261077523;1303
2009;26200651;84932;-8133;6987;497;121844
2009;14869446;366899;13413.8;23832.8;641;443431
2009;25313568;353818;18947.6;33577.6;12106;139567
2009;25934937;60746;3462.8;6367.8;798;89875
2009;48111678;55634;1702.8;3354.8;1462;128632
2009;64049922;12800;-1917;-1678;547;16940
2009;27217035;4508;686.088919801702;791.088919801702;200.488919801702;32292
2009;46507256;250757;19543.5195476161;25743.5195476161;2759.51954761608;500330
2009;49967029;45774;2741.6;3830.6;44;101745
2009;26845890;1116;390.925657991379;390.925657991379;6.92565799137855;2041
2009;27531813;6621;436.082392103421;776.082392103421;246.482392103421;16189
2009;26956594;5803;54.7606547284334;466.760654728433;135.760654728433;10621
2009;48591726;349532;11114;46890;4798;202944
2009;27514374;588;-138;-41;2;1789
2009;47450665;7849;121.092626459032;652.092626459032;177.092626459032;11430
2009;25599658;3804;97.8;324.8;93;9812
2009;45357072;384169;7097.8;23517.8;6833;444369
2009;46963987;66602;100;1961;1649;72176
2009;46506357;130645;3752;6253;2912;135907
2009;554812;70943;2039;6174;1655;194257
2009;26873028;6163;1053.2;1091.2;118;16089
2009;26383101;18484;2102;4245;190;57559
2009;48910465;2819;-147;-62;69;906
2009;25350871;27838;522.8;1530.8;234;51771
2009;25843389;125746;4867.8;12435.8;2083;130119
2009;655708;4197;58.0334394633566;63.0334394633566;50.0334394633566;7800
2009;45350531;191622;3441;16288;557;99952
2009;15036626;8191;938.010413437492;956.010413437492;70.8104134374922;11136
2009;25558811;4681;259.45408725646;344.45408725646;51.4540872564599;10000
2009;60709847;9463;-1950;-1950;128;18552
2009;49448811;488447;18416.6;57677.6;5287;437408
2009;26741334;21414;2079.4280908879;2495.4280908879;275.428090887901;34398
2009;26924056;8219;861.4;1198.4;111;26088
2009;545503;466626;34271.6;43131.6;1886;802703
2009;27797767;8629;3.15471914008612;3.15471914008612;0.754719140086124;55
2009;25319442;34793;1125.4;2519.4;279;105829
2009;27509427;9883;1528;1824;32;27580
2009;46343555;8177;-435;514;26;45362
2009;63492920;32798;1220;1845;292;29557
2009;27762025;14760;1484.6008507392;2247.6008507392;219.8008507392;16331
2009;26274744;94811;1331.2;5578.2;672;147486
2009;26392739;179;-13.3340713469828;-13.3340713469828;0.665928653017168;65
2009;48911348;272805;23321.9727441591;32632.9727441591;3353.17274415911;113035
2009;25435434;12592;1817.4;2255.4;295;136453
2009;27781917;314990;16453.4;32977.4;11059;101380
2009;25954113;68793;2175.4;2390.4;517;128433
2009;46343369;71758;-943;6156;453;154372
2009;25193716;2604;397.458072530167;397.458072530167;47.8580725301672;5277
2009;27503097;3964;696.2;810.2;97;7595
2009;46969250;90944;7420.2;13173.2;813;128115
2009;27969363;14707;4910.61292098489;5650.61292098489;249.012920984886;37434
2009;28180577;1497464;17365;41141;29017;337148
2009;25248294;76262;-3225;-1000;1526;60682
2009;28003373;6352;-256;-256;3;4979
2009;15030211;45908;-2009;370;652;58322
2009;544752;365007;70045.2;83240.2;3902;417197
2009;27736792;152;10.4408527780169;17.4408527780169;3.24085277801688;801
2009;26942097;9253;795.277192829709;1000.27719282971;291.277192829709;35350
